Date,General Electric,Chesapeake Energy,AT&T,Cisco Systems,Campbell Soup,S&P 500
39447,37.08,39.36,42.12,27.25,35.77,1468.36
39538,36.63,45.76,37.71,24.08,33.91,1322.7
39629,26.35,66.77,32.75,23.47,33.03,1280
39721,23.87,33.29,28.35,22.25,38.3,1166.36
39813,15.82,15.34,28.19,16.18,29.49,903.25
39903,10.33,17.65,25.44,16.53,27.03,797.87
39994,11.84,19.72,25.14,18.94,29.66,919.32
40086,16.83,28.8,27.34,23.55,32.94,1057.08
40178,15.27,26.36,28.29,24.1,34.14,1115.1
40268,18.21,23.52,25.9,26.52,35.25,1169.43
40359,14.47,21.47,24.35,21.52,35.99,1030.71
40451,16.46,22.66,28.78,22.05,36.1,1141.2
40543,18.15,25.89,29.36,20.24,34.5,1257.64
40633,20.08,34.58,30.63,17.32,33.35,1325.83
40724,18.59,29.18,31.39,15.36,34.75,1320.64
40816,15.65,26.52,28.73,15.63,32.09,1131.42
40908,18.03,22.63,30.1,18.19,33.54,1257.6
40999,20.07,23.38,31.32,21.12,33.35,1408.47
41090,20.42,18.28,35.7,16.79,32.72,1362.16
41182,22.77,18.97,37.91,19,34.65,1440.67
41274,20.29,16.5,33.13,19.38,34.5,1426.19
41364,23.14,20.44,36.69,20.84,44.9,1569.19
41455,23.32,20.48,35.55,24.43,44.74,1606.28
41547,23.88,25.92,33.78,23.12,40.73,1681.55
41639,27.9,27.08,35.17,22.25,43.35,1848.36
41729,26.02,25.72,35.3,22.49,44.82,1872.34
41820,26.44,30.43,35.4,24.67,45.67,1960.23
41912,25.36,23.6,35.26,24.9,42.74,1972.29
42004,25.42,19.46,33.98,28.28,44.6,2058.9
42094,25.09,13.88,32.97,27.34,46.36,2067.89
42185,26.82,11.15,36.03,27.83,47.27,2063.11
42277,24.73,6.88,32.36,26,51,1920.03
42369,30.86,4.38,34.56,27.38,53.05,2043.94
42460,31.89,3.97,39.42,28.53,64.05,2059.74
42551,30.66,4.39,42.69,28.38,62.96,2098.86
42643,29.6,6.13,40.91,31.61,54.68,2168.27
42735,31.63,7.15,42.76,30.56,60.93,2238.83
42825,29.86,5.83,41.79,33.72,57.15,2362.72
42916,27.09,5,37.73,31.79,52.1,2423.41
43008,24.22,4.34,38.95,33.31,47.16,2519.36
43100,17.27,4.08,39.22,38.41,48.48,2673.61
43190,12.92,3.03,34.85,44.49,42.48,2640.87
